"","assists_per_minute","height","time_played","age","points_per_minute","masde2metros","alto","assists_per_hour","assists_per_match","decada"
"54",0.0877,193,21.67,26,0.5769,FALSE,"Bajo",5.262,3.508,"20's"
"55",0.101,193,21.79,24,0.4773,FALSE,"Bajo",6.06,4.04,"20's"
"56",0.0942,201,20.17,26,0.4512,TRUE,"Alto",5.652,3.768,"20's"
"57",0.055,193,29.07,31,0.3096,FALSE,"Bajo",3.3,2.2,"30's"
"58",0.1071,196,24.28,24,0.3089,FALSE,"Bajo",6.426,4.284,"20's"
"59",0.0728,193,19.24,27,0.4573,FALSE,"Bajo",4.368,2.912,"20's"
"60",0.2771,180,27.07,28,0.3214,FALSE,"Bajo",16.626,11.084,"20's"
"61",0.0528,196,18.95,22,0.5437,FALSE,"Bajo",3.168,2.112,"20's"
"62",0.213,188,21.59,30,0.4121,FALSE,"Bajo",12.78,8.52,"30's"
"63",0.1356,193,13.27,31,0.2185,FALSE,"Bajo",8.136,5.424,"30's"
"64",0.1043,196,16.3,23,0.3313,FALSE,"Bajo",6.258,4.172,"20's"
"65",0.113,191,23.01,25,0.3302,FALSE,"Bajo",6.78,4.52,"20's"
"66",0.1477,196,20.31,31,0.4677,FALSE,"Bajo",8.862,5.908,"30's"
"67",0.1317,188,17.46,33,0.2406,FALSE,"Bajo",7.902,5.268,"30's"
"68",0.2187,191,21.95,28,0.3007,FALSE,"Bajo",13.122,8.748,"20's"
"69",0.2127,188,14.57,37,0.2471,FALSE,"Bajo",12.762,8.508,"30's"
"70",0.2547,160,34.55,28,0.2894,FALSE,"Bajo",15.282,10.188,"20's"
"71",0.1591,191,22,24,0.3682,FALSE,"Bajo",9.546,6.364,"20's"
"72",0.0898,196,13.37,34,0.389,FALSE,"Bajo",5.388,3.592,"30's"
"73",0.2146,188,20.51,24,0.512,FALSE,"Bajo",12.876,8.584,"20's"
"74",0.1871,183,19.78,28,0.4449,FALSE,"Bajo",11.226,7.484,"20's"
"75",0.1528,191,16.36,33,0.4035,FALSE,"Bajo",9.168,6.112,"30's"
"76",0.156,191,16.03,23,0.2683,FALSE,"Bajo",9.36,6.24,"20's"
"77",0.2348,188,24.27,26,0.2719,FALSE,"Bajo",14.088,9.392,"20's"
"78",0.1623,180,18.49,28,0.3408,FALSE,"Bajo",9.738,6.492,"20's"
"79",0.1239,180,17.76,26,0.4393,FALSE,"Bajo",7.434,4.956,"20's"
"80",0.2178,185,13.31,25,0.3004,FALSE,"Bajo",13.068,8.712,"20's"
"81",0.1608,185,17.41,26,0.3503,FALSE,"Bajo",9.648,6.432,"20's"
"82",0.0805,193,13.67,25,0.4388,FALSE,"Bajo",4.83,3.22,"20's"
"83",0.1776,193,17.46,27,0.2578,FALSE,"Bajo",10.656,7.104,"20's"
"84",0.1668,185,14.38,35,0.2989,FALSE,"Bajo",10.008,6.672,"30's"
"85",0.1072,188,12.12,31,0.4455,FALSE,"Bajo",6.432,4.288,"30's"
"86",0.1821,185,12.63,25,0.3087,FALSE,"Bajo",10.926,7.284,"20's"
"87",0.188,180,12.24,30,0.3678,FALSE,"Bajo",11.28,7.52,"30's"
"88",0.1167,196,12,24,0.3667,FALSE,"Bajo",7.002,4.668,"20's"
"89",0.2617,185,24.46,27,0.3189,FALSE,"Bajo",15.702,10.468,"20's"
"90",0.1994,188,20.06,27,0.4187,FALSE,"Bajo",11.964,7.976,"20's"
"91",0.1706,170,17,25,0.5059,FALSE,"Bajo",10.236,6.824,"20's"
"92",0.1554,183,11.58,24,0.3195,FALSE,"Bajo",9.324,6.216,"20's"
"93",0.2282,185,10.08,24,0.2381,FALSE,"Bajo",13.692,9.128,"20's"
"94",0.1778,185,18.56,23,0.2802,FALSE,"Bajo",10.668,7.112,"20's"
"95",0.1863,185,11.81,23,0.381,FALSE,"Bajo",11.178,7.452,"20's"
"96",0.1014,193,13.81,32,0.1593,FALSE,"Bajo",6.084,4.056,"30's"
